Date,Startup,Industry_Vertical,SubVertical,Location,Investor,Investment_Type,Amount(USD),Remarks
17-07-2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,"2,90,00,000",
17-07-2018,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global ",Private Equity,"4,97,00,000",
18-07-2018,The ken,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network ,Seed/ Angel Funding,"15,00,000",
19-07-2018,Book my show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund ",Private Equity,"10,00,00,000",
20-07-2018,Housingman,Consumer Internet,Property Discovery Platform,Bengaluru,Undisclosed,Seed/ Angel Funding,"15,00,000",
21-07-2018,Paysense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU ,Private Equity,"1,80,00,000",
23-07-2018,Yulu bikes,Technology,Bicycle-Sharing Platform,Bengaluru,Undisclosed,Seed/ Angel Funding,,
23-07-2018,Vtion,Technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,"2,80,000",
23-07-2018,Log9 materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,"4,36,000",
24-07-2018,Kidovators,Ed-Tech,Skill Learning Platform,Bengaluru,Gray Matters,Seed/ Angel Funding,"1,80,000",
24-07-2018,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,"4,50,00,000",
25-07-2018,Black soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,"1,70,00,000",
25-07-2018,Trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,"12,50,000",
25-07-2018,Iqlect,Technology,Data Analytics Firm,Bengaluru,Ventureast and Exfinity,Seed/ Angel Funding,"25,00,000",
26-07-2018,Entropik,IT,Software-As-A-Service Platform,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta ",Seed/ Angel Funding,"11,00,000",
26-07-2018,Bitla software,Technology,Travel-Focused Tech Startup,Bengaluru,MakeMyTrip,Private Equity,,
26-07-2018,Thecapitalnet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,"5,00,000",
30-07-2018,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,"1,10,00,000",
30-07-2018,Cure fit,Consumer Internet,Health and fitness Platform,Bengaluru,"IDG Ventures, Accels, Kalaari Capital and Others",Private Equity,"12,00,00,000",
31-07-2018,Five star group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,"10,00,00,000",
31-07-2018,Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed/ Angel Funding,"50,00,000",
01-06-2018,Cointribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia ",Private Equity,"1,00,00,000",
04-06-2018,Digiconectt,Technology,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Seed/ Angel Funding,"1,25,000",
04-06-2018,Kashmir box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,,
05-06-2018,Crowdera,Finance,Online Crowdfunding Platform,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed/ Angel Funding,,
05-06-2018,Zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,NB Ventures and Others,Seed/ Angel Funding,,
07-06-2018,Annapurna finance,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,"2,30,00,000",
07-06-2018,Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,"1,15,00,000",
10-06-2018,Ayefinance,Finance,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,"2,15,00,000",
11-06-2018,Theranosis,Healthcare,Specialised diagnostics Platform,Hyderabad,Mumbai Angels Network,Seed/ Angel Funding,,
12-06-2018,Alpha capital,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,"1,48,00,000",
12-06-2018,Eshakti,E-Commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,"1,01,00,000",
12-06-2018,Daily ninja,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and Sequoia Capital,Seed/ Angel Funding,"30,00,000",
13-06-2018,Nirogstreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Seed/ Angel Funding,"3,000,00",
13-06-2018,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed/ Angel Funding,"4,50,000",
13-06-2018,Whats up life,Consumer Internet,"A Local Discovery App For Dining-Out, Party, Leisure and Events",Gurugram,Rannvijay Singha,Seed/ Angel Funding,,
14-06-2018,Homelane,Consumer Internet,Online Home Furnishing Solutions,Bengaluru,Brand Capital,Seed/ Angel Funding,"34,50,000",
14-06-2018,Network intelligence,Technology,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity,"48,00,000",
18-06-2018,Tynor othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,"2,10,00,000",
18-06-2018,Elucidata,IT,Data Analytics (SaaS),Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,"17,00,000",
19-06-2018,Chrysalis,Ed-Tech,Education Services Provider,Pune,Menterra Venture & Artha Initiatives,Seed/ Angel Funding,,
19-06-2018,Rentsher,Consumer Internet,Online Rental Marketplace,Bengaluru,"Shorooq Investments, LetsVenture ",Seed/ Angel Funding,"11,00,000",
20-06-2018,Drip capital,Finance,Trade Finance Firm,Mumbai,"Accels, Sequoia India, Y Combinator .",Private Equity,"1,50,00,000",
22-06-2018,Wickedride,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,"Sequoia Capital, Accels & Raghunandan Gangappa",Private Equity,"91,00,000",
25-06-2018,Policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,"20,00,00,000",
25-06-2018,Hipbar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity,"40,00,000",
25-06-2018,Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed/ Angel Funding,"10,00,000",
26-06-2018,Paytm,Technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity,"89,50,000",
26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"Accels, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,"1,90,00,000",
27-06-2018,Wow express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,"45,00,000",
28-06-2018,Front desk ai,Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest ,Seed/ Angel Funding,"11,00,000",
28-06-2018,Edureka,Ed-Tech,Online Education Platform,Bengaluru,Leo Capital,Seed/ Angel Funding,"20,00,000",
29-06-2018,Numeroseven,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkatta,Shiva Gunapu ,Seed/ Angel Funding,,
02-05-2018,Opentap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,"4,50,000",
02-05-2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accels and IDG Ventures",Private Equity,"2,20,00,000",
03-05-2018,Disprz,IT,SaaS,Chennai,"IL&FS Private Equity, Kae Capital ",Seed / Angel Funding,"25,00,000",
07-05-2018,Paisadukan,Consumer Internet,P2P Lending Platform,Mumbai,Undisclosed,Seed / Angel Funding,"2,25,000",
09-05-2018,I3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,"10,00,000",
11-05-2018,Earth food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,"9,49,000",
14-05-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,"2,40,00,000",
16-05-2018,Mfine,Healthcare,Doctor-Consultation App,Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000,
21-05-2018,Rocketium,Technology,Online Video Creation Platform,Bengaluru,Blume ventures,Seed/ Angel Funding,"3,00,000",
21-05-2018,Milkbasket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,"70,00,000",
22-05-2018,Vola,Finance,Micro Lending Platform,Bengaluru,Credika and unnamed angel investors,Seed/ Angel Funding,"5,00,000",
22-05-2018,Cashkumar,Consumer Internet,P2P Lending Platform,Bengaluru,LetsVenture,Seed/ Angel Funding,"7,35,000",
23-05-2018,Edyoo,E-Commerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Seed/ Angel Funding,"7,35,000",
23-05-2018,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,"20,00,000",
24-05-2018,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,"20,00,000",
24-05-2018,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,"2,93,000",
27-05-2018,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,"1,20,00,000",
28-05-2018,Hwell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,"2,00,000",
29-05-2018,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,"15,00,000",
29-05-2018,Tonetag,Technology,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and Mastercard,Private Equity,"80,00,000",
30-05-2018,Events high,Consumer Internet,Events and Activities Discovery Platform,Bengaluru,Treebo,Private Equity,,
30-05-2018,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,"1,40,00,000",
31-05-2018,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,"13,000,00",
02-04-2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,"20,00,000",
02-04-2018,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,"3,07,600",
02-04-2018,Benepik,Technology,Enhanced Employee Engagement Platform,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments ",Seed / Angel Funding,,
02-04-2018,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bengaluru,Undisclosed,Seed / Angel Funding,"13,00,000",
04-04-2018,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,"5,50,00,000",
05-04-2018,Indigolearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,"1,50,000",
05-04-2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bengaluru,"Accels, Tiger Global And Others",Private Equity,"1,00,00,000",
09-04-2018,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,"Omidyar Network, Blume Ventures and Professor Shlomo Ben-Haim",Seed / Angel Funding,"28,00,000",
09-04-2018,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,"1,000,000,",
09-04-2018,Elemential,Technology,Blockchain Platform,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik ",Seed / Angel Funding,,
09-04-2018,Kriger campus,Ed-Tech,Mobile-Based Education Network,Delhi,Undisclosed,Seed / Angel Funding,"46,140",
10-04-2018,Loanzen,Finance,Digital Lending Platform In Logistics,Bengaluru,Kae Capital Management,Seed / Angel Funding,,
10-04-2018,Traveltriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments ",Private Equity,"1,20,00,000",
12-04-2018,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,"10,00,000",
12-04-2018,Ayefinance,Finance,Online Lending Platform,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,"46,000,00",
13-04-2018,Mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Seed / Angel Funding,"20,00,000",
16-04-2018,Icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Mr. Manoj Prasad,Seed / Angel Funding,"5,00,000",
16-04-2018,Pregbuddy,Healthcare,Connected Care App For Pregnant Women,Bengaluru,"Rajan Anandan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh",Seed / Angel Funding,,
18-04-2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,"International Finance Corporation, Transamerica .",Private Equity,"2,20,00,000",
19-04-2018,Lenskart,Consumer Internet,Online Eyewear Retailer,Faridabad,TR Capital,Private Equity,,
19-04-2018,Mamaearth,Healthcare,Online Baby care Products,Gurugram,Shilpa Shetty Kundra,Private Equity,,
19-04-2018,Fyle technologies,Technology,AI Based Expense Management Platform,Bengaluru,Pravega Ventures and Beenext,Seed / Angel Funding,"11,000,00",
19-04-2018,True balance,Technology,Mobile Balance Checking App,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,"2,30,00,000",
22-04-2018,Visit,Healthcare,AI Driven Health tech Platform,Delhi,"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan and Karthee Madasamy",Private Equity,,
22-04-2018,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed / Angel Funding,"19,00,000",
22-04-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,"1,10,00,000",
23-04-2018,Mihuru,Finance,Online Platform Providing Micro Loans For Air Travel,Mumbai,Undisclosed,Seed / Angel Funding,"1,50,000",
23-04-2018,Capital float,Finance,Online Lending Platform,Bengaluru,Amazon,Private Equity,"2,20,00,000",
25-04-2018,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,"2,46,000",
26-04-2018,Popxo,Technology,Women Focussed Digital Media Platform,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,"55,00,000",
26-04-2018,Railyatri,Consumer Internet,Online Travel Ticketing Platform,Noida,"Omidyar Network, Nandan Nilekani, Blume Ventures, Helion Venture Partners",Private Equity,,
27-04-2018,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,"1,00,00,000",
29-04-2018,Rubique,Consumer Internet,Online Lending MarketPlace,Mumbai,"Emery Capital, Blacksoil and Kalaari Capital",Private Equity,,
30-04-2018,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,"75,00,000",
30-04-2018,Myloancare,Finance,B2C Online Loans Marketplace,Gurugram,SAR Group,Seed / Angel Funding,"9,78,000",
01-03-2018,Pharmeasy,Consumer Internet,Online Pharmacy Store,Mumbai,"Bessemer Venture Partners and Orios Venture Partners, JM Financials and MEMG",Private Equity,,
01-03-2018,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital ,Private Equity,"30,00,000",
01-03-2018,Urban ladder,E-Commerce,Online Furniture Store,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,"1,20,00,000",
03-03-2018,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,"2,50,000",
04-03-2018,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,"10,00,000",
05-03-2018,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,"21,00,000",
05-03-2018,Medgenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,"1,00,00,000",
05-03-2018,Finova capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,"60,00,000",
05-03-2018,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accels and Saama Capital",Private Equity,"50,00,000",
04-03-2018,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,"11,00,000",
06-03-2018,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,"97,00,000",
06-03-2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,"76,00,000",
08-03-2018,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,"3,84,00,000",
08-03-2018,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,"10,00,000",
12-03-2018,Healthcare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Funding,"10,00,000",
13-03-2018,Pinelabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,"8,20,00,000",
14-03-2018,Stumagz,Consumer Internet,Online Communication and Collaboration Platform For Educational Institutions,Hyderabad,"Venkat Subramanian, Sudhakar Pennam, and other tech investors from Silicon Valley",Seed / Angel Funding,,
